City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,Port Macquarie,AU,-31.4333,152.9167,64.36,78,64,13.0,broken clouds
82,Eyl,SO,7.9803,49.8164,89.4,48,88,18.43,overcast clouds
83,Clyde River,CA,70.4692,-68.5914,25.84,74,100,3.31,overcast clouds
84,Suna,RU,57.8338,50.0588,44.71,92,100,10.78,light rain
85,Laguna,US,38.421,-121.4238,73.94,60,1,3.0,smoke
86,Broome,US,42.2506,-75.833,52.48,80,1,4.61,clear sky
87,Vila Velha,BR,-20.3297,-40.2925,60.75,94,0,1.14,clear sky
88,Arman,RU,59.7,150.1667,42.51,89,85,1.7,overcast clouds
89,Rio Gallegos,AR,-51.6226,-69.2181,39.25,70,40,10.36,scattered clouds
90,Tucurui,BR,-3.7661,-49.6725,71.33,96,19,3.06,few clouds
91,Gat,IL,31.61,34.7642,83.79,37,0,8.1,clear sky
92,Kozhva,RU,65.1073,57.0459,52.65,51,79,12.44,broken clouds
93,Isiro,CD,2.7739,27.616,73.74,73,100,1.88,overcast clouds
94,Grindavik,IS,63.8424,-22.4338,41.47,75,75,19.57,broken clouds
95,Hambantota,LK,6.1241,81.1185,93.54,62,40,12.66,scattered clouds
96,Jian,CN,27.1172,114.9793,95.85,41,20,3.02,few clouds
97,Korla,CN,41.7597,86.1469,75.36,18,0,9.37,clear sky
98,Karratha,AU,-20.7377,116.8463,80.08,41,8,21.36,clear sky
99,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,55.2,96,5,7.2,clear sky
100,Pangnirtung,CA,66.1451,-65.7125,31.39,47,41,4.65,scattered clouds
101,Atuona,PF,-9.8,-139.0333,78.08,75,60,18.45,broken clouds
102,Bambous Virieux,MU,-20.3428,57.7575,77.25,57,20,16.11,few clouds
103,Kodiak,US,57.79,-152.4072,38.44,55,3,6.33,clear sky
104,Bubaque,GW,11.2833,-15.8333,79.68,79,82,8.37,light rain
105,Tiksi,RU,71.6872,128.8694,33.75,84,100,20.65,overcast clouds
