City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
397,Banda Aceh,ID,84.87,broken clouds,5.5577,95.3222,Sulthan Hotel International
399,Maneadero,MX,66.09,overcast clouds,31.7167,-116.5667,Casa De Thompson
401,Shirdi,IN,84.38,overcast clouds,19.7667,74.4833,Shradha Saburi Palace
402,Moree,AU,64.09,overcast clouds,-29.4667,149.85,Molika Springs Motel
405,Kuala Terengganu,MY,84.15,light rain,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
407,Panzhihua,CN,86.11,scattered clouds,26.5851,101.7128,Electric Power Hotel
408,San Andres,CO,82.22,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
409,La Reforma,MX,80.26,clear sky,25.0833,-108.05,Hotel Reforma
410,Alice Springs,AU,80.15,few clouds,-23.7,133.8833,Desert Palms Alice Springs
411,Emerald,AU,80.98,scattered clouds,-23.5333,148.1667,The Irish Village
412,Iyo,JP,78.42,overcast clouds,33.7514,132.7014,山陽物産（株）
413,Nantucket,US,68.11,broken clouds,41.2835,-70.0995,Jared Coffin House
414,Puerto Madero,MX,77.56,overcast clouds,14.7208,-92.4215,Hotel La Central
417,Inongo,CD,76.51,broken clouds,-1.95,18.2667,Hotel Du Lac
418,Nabire,ID,80.53,moderate rain,-3.3667,135.4833,Hotel Nusantara Nabire
420,Hesla,IN,89.96,scattered clouds,24.0667,85.8833,Khurshid Dhaba
421,Sattahip,TH,86.29,scattered clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
422,Nouadhibou,MR,69.78,scattered clouds,20.931,-17.0347,El Medina
424,Manta,EC,73.18,overcast clouds,-0.95,-80.7333,Balandra Hotel
425,San Quintin,MX,67.46,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
426,Sola,VU,79.86,overcast clouds,-13.8833,167.55,Leumerus Bungalows
427,Monrovia,LR,82.17,overcast clouds,6.3005,-10.7969,Sunset Inn
429,Yulara,AU,85.84,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
430,Ocos,GT,80.69,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
431,Kendari,ID,80.87,broken clouds,-3.945,122.4989,Hotel Wixel
432,Hualmay,PE,61.68,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
436,Balila,JO,72.75,clear sky,32.3881,35.9351,ارشيد ابوعزيز
437,Quatre Cocos,MU,77.11,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
438,Canhotinho,BR,67.17,overcast clouds,-8.8822,-36.1911,Pousada da Tia valda
441,Cabedelo,BR,75.96,few clouds,-6.9811,-34.8339,Hotel Pigalle
444,Dalby,AU,68.59,broken clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
445,Takoradi,GH,79.7,moderate rain,4.8845,-1.7554,Raybow International Hotel
446,Tottori,JP,69.8,overcast clouds,35.5,134.2333,Hotel Monarque Tottori
447,Cairns,AU,76.06,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
449,Alexandria,EG,77.45,clear sky,31.2156,29.9553,Royal Crown Hotel
452,Saint Simons,US,69.84,clear sky,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
453,Kells,IE,65.32,overcast clouds,53.7264,-6.8792,Headfort Arms Hotel
455,Carlagan,PH,82.18,broken clouds,14.975,122.0456,Cabatagan Island
456,Tervel,BG,72.23,scattered clouds,43.75,27.4,Хотели Тервел - Хотел Алгара
